Country Name,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,101453,101669,102053,102577,103187,103795,104341,104822
Afghanistan,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032
Angola,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463
Albania,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101
Andorra,84462,84449,83751,82431,80788,79223,78014,77281
Arab World,348145094,356508908,364895878,373306993,381702086,390043028,398304960,406452690
United Arab Emirates,7666393,8270684,8672475,8900453,9006263,9070867,9154302,9269612
Argentina,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430
Armenia,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816
American Samoa,56227,55637,55320,55230,55307,55437,55537,55599
Antigua and Barbuda,93581,94661,95719,96777,97824,98875,99923,100963
Australia,21691700,22031750,22340024,22728254,23117353,23460694,23789338,24127159
Austria,8343323,8363404,8391643,8429991,8479375,8541575,8633169,8747358
Azerbaijan,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9762274
Burundi,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117
Belgium,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11348159
Benin,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298
Burkina Faso,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433
Bangladesh,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560
Bulgaria,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822
Bahrain,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171
"Bahamas, The",354856,360832,366568,372039,377240,382169,386838,391232
Bosnia and Herzegovina,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816
Belarus,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9507120
Belize,313929,321608,329192,336701,344181,351694,359288,366954
Bermuda,65636,65124,64564,64798,65001,65139,65235,65331
Bolivia,9758748,9918242,10078343,10239004,10400264,10562159,10724705,10887882
Brazil,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865
Barbados,278470,279569,280601,281585,282509,283385,284217,284996
Brunei Darussalam,383772,388662,394013,399748,405716,411704,417542,423196
Bhutan,714458,727641,740510,752967,764961,776448,787386,797765
Botswana,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260
Central African Republic,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621
Canada,33628571,34005274,34342780,34750545,35155451,35544564,35848610,36286425
Central Europe and the Baltics,104924372,104543801,104174038,103935318,103713726,103496179,103257751,102974082
Switzerland,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8372098
Channel Islands,158603,159581,160497,161358,162180,162969,163758,164541
Chile,16829442,16993354,17153357,17309746,17462982,17613798,17762681,17909754
China,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000
Cote d'Ivoire,19936366,20401331,20895311,21418603,21966312,22531350,23108472,23695919
Cameroon,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189
"Congo, Dem. Rep.",62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153
"Congo, Rep.",4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821
Colombia,45416181,45918097,46406646,46881475,47342981,47791911,48228697,48653419
Comoros,673252,689692,706569,723868,741500,759385,777424,795601
Cabo Verde,496963,502384,508067,513979,520106,526437,532913,539560
Costa Rica,4488263,4545280,4600474,4654122,4706401,4757575,4807852,4857274
Caribbean small states,6939534,6984096,7029022,7074129,7118888,7162679,7204948,7245472
Cuba,11318602,11333051,11354651,11382146,11412167,11439767,11461432,11475982
Curacao,146833,148703,150831,152088,153822,155909,157979,159999
Cayman Islands,54279,55507,56579,57523,58371,59172,59963,60765
Cyprus,1098076,1112607,1124835,1135062,1143896,1152309,1160985,1170125
Czech Republic,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10561633
Germany,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82667685
Djibouti,836840,851146,865937,881185,896688,912164,927414,942333
Dominica,71229,71440,71718,72044,72400,72778,73162,73543
Denmark,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5731118
Dominican Republic,9767758,9897985,10027095,10154950,10281296,10405844,10528394,10648791
Algeria,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052
East Asia & Pacific (excluding high income),1950768124,1964691596,1978727582,1993008684,2007434775,2022021082,2036552598,2051431154
Early-demographic dividend,2864730145,2908808244,2952873719,2996573424,3040240928,3083836360,3127290269,3170542188
East Asia & Pacific,2190811045,2205614879,2220357890,2235430359,2250552199,2265898057,2281203360,2296786207
Europe & Central Asia (excluding high income),401472949,403470694,405521953,407706585,410126644,412510951,414975737,417424643
Europe & Central Asia,885591693,889016221,891094964,894666669,898855113,903094668,907424836,911995305
Ecuador,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068
"Egypt, Arab Rep.",82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681
Euro area,335360887,336151479,335425831,336167296,337296873,338429646,339519210,340894606
Eritrea,4310334,4390840,4474690,,,,,
Spain,46362946,46576897,46742697,46773055,46620045,46480882,46447697,46443959
Estonia,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1316481
Ethiopia,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196
European Union,503317964,504421131,504012082,505104334,506592457,508157247,509703315,511497415
Fragile and conflict affected situations,428246870,438737943,449398455,460228236,471253115,482474449,493919601,505635987
Finland,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495096
Fiji,851967,859950,867086,873596,879715,885806,892149,898760
France,64707044,65027512,65342776,65659790,65998570,66331957,66624068,66896109
Faroe Islands,48517,48550,48608,48666,48747,48842,48965,49117
"Micronesia, Fed. Sts.",103960,103616,103468,103503,103702,104015,104433,104937
Gabon,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786
United Kingdom,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65637239
Georgia,3978000,3926000,3875000,3825000,3776000,3727000,3717100,3719300
Ghana,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728
Gibraltar,32956,33189,33405,33623,33831,34038,34228,34408
Guinea,10556524,10794170,11035170,11281469,11536615,11805509,12091533,12395924
"Gambia, The",1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501
Guinea-Bissau,1517448,1555880,1596154,1638139,1681495,1725744,1770526,1815698
Equatorial Guinea,909111,951104,994290,1038593,1083746,1129424,1175389,1221490
Greece,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10746740
Grenada,104296,104677,105075,105481,105909,106360,106823,107317
Greenland,56323,56905,56890,56810,56483,56295,56114,56186
Guatemala,14316208,14630417,14948919,15271056,15596214,15923559,16252429,16582469
Guam,159231,159444,159678,159973,160375,160967,161797,162896
Guyana,745693,746556,749100,753091,758081,763393,768514,773303
High income,1141985286,1149511694,1154998991,1161900127,1168843771,1175966521,1182929820,1190029421
"Hong Kong SAR, China",6972800,7024200,7071600,7154600,7187500,7241700,7305700,7346700
Honduras,8035021,8194778,8351600,8505646,8657785,8809216,8960829,9112867
Heavily indebted poor countries (HIPC),612731524,630127436,648053253,666488623,685401960,704745420,724482652,744602976
Croatia,4429078,4417781,4280622,4267558,4255689,4238389,4203604,4170600
Haiti,9852870,9999617,10145054,10289210,10431776,10572466,10711061,10847334
Hungary,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9817958
IBRD only,4383580939,4427798045,4472295862,4517416870,4562691125,4607807731,4652578287,4697247117
IDA & IBRD total,5725606720,5801348625,5877978113,5955531931,6033914681,6112778045,6191917218,6271593092
IDA total,1342025781,1373550580,1405682251,1438115061,1471223556,1504970314,1539338931,1574345975
IDA blend,442179341,452947421,463997812,474993526,486261860,497751634,509396383,521159393
Indonesia,239340478,242524123,245707511,248883232,252032263,255131116,258162113,261115456
IDA only,899846440,920603159,941684439,963121535,984961696,1007218680,1029942548,1053186582
Isle of Man,79325,80072,80759,81406,82013,82590,83167,83737
India,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354
Not classified,,,,,,,,
Ireland,4535375,4560155,4576794,4586897,4598294,4617225,4676835,4773095
"Iran, Islamic Rep.",73687565,74567511,75491582,76453574,77435384,78411092,79360487,80277428
Iraq,29894652,30762701,31727053,32776571,33883145,35006080,36115649,37202572
Iceland,318499,318041,319014,320716,323764,327386,330815,334252
Israel,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8547100
Italy,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60600590
Jamaica,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355
Jordan,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802
Japan,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511
Kazakhstan,16092701,16321581,16556600,16791425,17035275,17289224,17544126,17797032
Kenya,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567
Kyrgyz Republic,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6082700
Cambodia,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370
Kiribati,100568,102652,104656,106613,108535,110458,112407,114395
St. Kitts and Nevis,50886,51445,52006,52591,53169,53739,54288,54821
"Korea, Rep.",49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707
Kuwait,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584
Latin America & Caribbean (excluding high income),562785589,569737872,576648286,583515410,590319145,597035363,603644865,610136397
Lao PDR,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353
Lebanon,4183156,4337141,4588368,4916404,5276102,5603279,5851479,6006668
Liberia,3811528,3948125,4070167,4181563,4286291,4390737,4499621,4613823
Libya,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253
St. Lucia,171022,172580,173832,174835,175660,176421,177206,178015
Latin America & Caribbean,589352524,596477846,603534610,610545003,617492351,624331830,631058524,637664490
Least developed countries: UN classification,828953320,848791962,869298106,890423474,912093996,934192321,956631108,979387925
Low income,544900284,560007444,575572515,591576162,607987351,624759914,641858608,659272676
Liechtenstein,35766,36003,36264,36545,36834,37127,37403,37666
Sri Lanka,19968000,20119000,20271000,20425000,20585000,20771000,20966000,21203000
Lower middle income,2713862748,2756602745,2799383507,2841934571,2884574006,2927194316,2970020158,3012923806
Low & middle income,5705229263,5781145005,5857844644,5935500538,6014016344,6093019655,6172290592,6252106157
Lesotho,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821
Late-demographic dividend,2168123627,2181250143,2194503254,2208049607,2221689409,2235382535,2248927194,2262709895
Lithuania,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2872298
Luxembourg,497783,506953,518347,530946,543360,556319,569604,582972
Latvia,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1960424
"Macao SAR, China",525313,536969,549439,562531,575841,588781,600942,612167
St. Martin (French part),29820,30235,30615,30959,31264,31530,31754,31949
Morocco,31989897,32409639,32858823,33333789,33824769,34318082,34803322,35276786
Monaco,36534,37094,37497,37783,37971,38132,38307,38499
Moldova,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3552000
Madagascar,20569121,21151640,21743949,22346573,22961146,23589801,24234088,24894551
Maldives,360000,367000,377000,385000,393000,401000,409163,417492
Middle East & North Africa,380192587,388376106,396573248,404782447,412950407,421022841,428961724,436720722
Mexico,115505228,117318941,119090017,120828307,122535969,124221600,125890949,127540423
Marshall Islands,52320,52425,52542,52663,52793,52898,52994,53066
Middle income,5160328979,5221137561,5282272129,5343924376,5406028993,5468259741,5530431984,5592833481
"Macedonia, FYR",2069093,2070739,2072383,2074036,2075739,2077495,2079308,2081206
Mali,14606597,15075085,15540989,16006670,16477818,16962846,17467905,17994837
Malta,412477,414508,416268,419455,423374,427364,431874,436947
Myanmar,49800690,50155896,50553031,50986514,51448196,51924182,52403669,52885223
Middle East & North Africa (excluding high income),329488935,335581557,341822043,348195697,354641044,361077997,367449306,373719055
Montenegro,618294,619428,620079,620601,621207,621810,622159,622781
Mongolia,2668289,2712650,2761516,2814226,2869107,2923896,2976877,3027398
Northern Mariana Islands,55674,54424,53786,53718,54036,54468,54816,55023
Mozambique,23524063,24221405,24939005,25676606,26434372,27212382,28010691,28829476
Mauritania,3506288,3609543,3717672,3830239,3946170,4063920,4182341,4301018
Mauritius,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473
Malawi,14714602,15167095,15627618,16097305,16577147,17068838,17573607,18091575
Malaysia,27605383,28112289,28635128,29170456,29706724,30228017,30723155,31187265
North America,340465736,343418591,346070702,348813722,351425360,354173159,356810463,359479269
Namibia,2137040,2173170,2215621,2263934,2316520,2370992,2425561,2479713
New Caledonia,245000,250000,254000,259000,263000,268000,273000,278000
Niger,15813913,16425578,17064636,17731634,18426372,19148219,19896965,20672987
Nigeria,154402181,158578261,162877076,167297284,171829303,176460502,181181744,185989640
Nicaragua,5666581,5737723,5807820,5877108,5945747,6013997,6082035,6149928
Netherlands,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17018408
Norway,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5232929
Nepal,26741103,27023137,27327147,27649925,27985310,28323241,28656282,28982771
Nauru,10028,10025,10057,10279,10821,11853,12475,13049
New Zealand,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4692700
OECD members,1234203233,1242391523,1248769315,1256599264,1264695223,1273109967,1281401703,1289937319
Oman,2882942,3041460,3237268,3464644,3711481,3960925,4199810,4424762
Other small states,25620918,26269542,26902018,27527819,28146089,28759578,29374084,29983809
Pakistan,167049580,170560182,174184265,177911533,181712595,185546257,189380513,193203476
Panama,3579385,3643222,3707782,3772938,3838462,3903986,3969249,4034119
Peru,29001507,29373646,29759989,30158966,30565716,30973354,31376671,31773839
Philippines,92220879,93726624,95277940,96866642,98481032,100102249,101716359,103320222
Palau,20342,20470,20599,20758,20920,21094,21288,21503
Papua New Guinea,6947447,7108239,7269348,7430836,7592865,7755785,7919825,8084991
Poland,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37948016
Pre-demographic dividend,717959651,739082260,760942116,783505835,806705375,830442736,854646007,879292453
Puerto Rico,3740410,3721525,3678732,3634488,3593077,3534874,3473181,3411307
"Korea, Dem. People’s Rep.",24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620
Portugal,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10324611
Paraguay,6127837,6209877,6293783,6379219,6465740,6552584,6639119,6725308
West Bank and Gaza,3702218,3811102,3927051,4046901,4169506,4294682,4422143,4551566
Pacific island small states,2184920,2214096,2242763,2271298,2300045,2329458,2358955,2388875
Post-demographic dividend,1070107590,1075140985,1078083259,1082722218,1087560614,1092601669,1097570905,1102730983
French Polynesia,265581,267820,269843,271703,273528,275484,277690,280208
Qatar,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804
Romania,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19705301
Russian Federation,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396
Rwanda,9977446,10246842,10516071,10788853,11065151,11345357,11629553,11917508
South Asia,1607562312,1630729920,1653756466,1676614288,1699306053,1721840539,1744190704,1766383450
Saudi Arabia,26661492,27425676,28238020,29086357,29944476,30776722,31557144,32275687
Sudan,33650619,34385963,35167314,35990192,36849918,37737913,38647803,39578828
Senegal,12550917,12916229,13300910,13703513,14120320,14546111,14976994,15411614
Singapore,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283
Solomon Islands,516079,527790,539614,551531,563513,575504,587482,599419
Sierra Leone,6310260,6458720,6611692,6766103,6922079,7079162,7237025,7396190
El Salvador,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722
San Marino,30723,31110,31504,31914,32303,32657,32960,33203
Somalia,11707990,12053223,12404725,12763776,13132349,13513125,13908129,14317996
Serbia,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7057412
Sub-Saharan Africa (excluding high income),853151354.1,876933366.4,901368314.4,926459874.1,952188682.6,978533722.7,1005477382,1033011458
South Sudan,9670667,10067192,10448857,10818258,11177490,11530971,11882136,12230730
Sub-Saharan Africa,853238652.1,877023136.4,901455755.4,926548177.1,952278631.6,978625081.7,1005570801,1033106135
Small states,34745372,35467734,36173803,36873246,37565022,38251715,38937987,39618156
Sao Tome and Principe,170813,174776,178800,182889,187045,191266,195553,199910
Suriname,520619,526103,531589,537077,542540,547928,553208,558368
Slovak Republic,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5428704
Slovenia,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2064845
Sweden,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9903122
Swaziland,1180675,1202843,1225258,1248158,1271456,1295097,1319011,1343098
Sint Maarten (Dutch part),39133,35474,33435,34640,36607,37685,38824,40005
Seychelles,87298,89770,87441,88303,89949,91359,93419,94677
Syrian Arab Republic,20824893,21018834,20863993,20420701,19809141,19203090,18734987,18430453
Turks and Caicos Islands,30245,30994,31731,32431,33108,33739,34339,34900
Chad,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543
East Asia & Pacific (IDA & IBRD countries),1926269218,1940064830,1953970563,1968120178,1982414412,1996870376,2011274432,2026028438
Europe & Central Asia (IDA & IBRD countries),439624552,441513488,443585208,445769749,448166840,450522686,452962149,455372659
Togo,6330472,6502952,6679282,6859482,7042948,7228915,7416802,7606374
Thailand,66881867,67208808,67530130,67843979,68143065,68416772,68657600,68863514
Tajikistan,7472819,7641630,7815949,7995062,8177809,8362745,8548651,8734951
Turkmenistan,5007950,5087210,5174061,5267839,5366277,5466241,5565284,5662544
Latin America & the Caribbean (IDA & IBRD countries),573125269,580246796,587315129,594330743,601277206,608136047,614891969,621534921
Timor-Leste,1092021,1109591,1131523,1156760,1184366,1212814,1240977,1268671
Middle East & North Africa (IDA & IBRD countries),325786717,331770455,337894992,344148796,350471538,356783315,363027163,369167489
Tonga,103604,104137,104577,104951,105328,105782,106364,107122
South Asia (IDA & IBRD),1607562312,1630729920,1653756466,1676614288,1699306053,1721840539,1744190704,1766383450
Sub-Saharan Africa (IDA & IBRD countries),853238652.1,877023136.4,901455755.4,926548177.1,952278631.6,978625081.7,1005570801,1033106135
Trinidad and Tobago,1321618,1328100,1334788,1341588,1348248,1354493,1360092,1364962
Tunisia,10521834,10639931,10761467,10886668,11014558,11143908,11273661,11403248
Turkey,71339185,72326914,73409455,74569867,75787333,77030628,78271472,79512426
Tuvalu,10441,10531,10628,10725,10819,10908,11001,11097
Tanzania,44664231,46098591,47570902,49082997,50636595,52234869,53879957,55572201
Uganda,32771895,33915133,35093648,36306796,37553726,38833338,40144870,41487965
Ukraine,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645
Upper middle income,2446466231,2464534816,2482888622,2501989805,2521454987,2541065425,2560411826,2579909675
Uruguay,3362755,3374415,3385624,3396777,3408005,3419546,3431552,3444006
United States,306771529,309348193,311663358,313998379,316204908,318563456,320896618,323127513
Uzbekistan,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31848200
St. Vincent and the Grenadines,109253,109315,109341,109328,109320,109357,109455,109643
"Venezuela, RB",28587323,29028033,29463291,29893080,30317848,30738378,31155134,31568179
British Virgin Islands,26447,27224,27901,28509,29056,29588,30113,30661
Virgin Islands (U.S.),106707,106267,105784,105275,104737,104170,103574,102951
Vietnam,86025000,86932500,87860300,88809200,89759500,90728900,91713300,92701100
Vanuatu,230785,236295,241871,247485,253142,258850,264603,270402
World,6847214549,6930656699,7012843635,7097400665,7182860115,7268986176,7355220412,7442135578
Samoa,184826,186205,187665,189194,190757,192290,193759,195125
Kosovo,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200
"Yemen, Rep.",22974929,23606779,24252206,24909969,25576322,26246327,26916207,27584213
South Africa,50255813.11,50979432.36,51729345.36,52506515.08,53311955.61,54146734.74,55011976.68,55908865
Zambia,13456417,13850033,14264756,14699937,15153210,15620974,16100587,16591390
Zimbabwe,13810599,14086317,14386649,14710826,15054506,15411675,15777451,16150362
